parcel_id,municipal_plot_id,cadastral_owner,municipal_owner,owner_similarity,relationship
P0001,M-8000,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0002,M-8001,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0003,M-8002,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0004,M-8003,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0005,M-8004,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0006,M-8005,Rajesh K.,Rajesh Kumar,80.0,REVIEW REQUIRED
P0007,M-8006,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0008,M-8007,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0009,M-8008,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0010,M-8009,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0011,M-8010,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0012,M-8011,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0013,M-8012,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0014,M-8013,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0015,M-8014,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0016,M-8015,Suresh P.,Priya Singh,21.05,OWNER CONFLICT
P0017,M-8016,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0018,M-8017,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0019,M-8018,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0020,M-8019,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0021,M-8020,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER
P0022,M-8021,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0023,M-8022,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0024,M-8023,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0025,M-8024,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0026,M-8025,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0027,M-8026,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0028,M-8027,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0029,M-8028,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0030,M-8029,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0031,M-8030,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0032,M-8031,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0033,M-8032,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0034,M-8033,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0035,M-8034,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0036,M-8035,Amit S.,Sunita Pawar,33.33,OWNER CONFLICT
P0037,M-8036,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0038,M-8037,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0039,M-8038,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0040,M-8039,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0041,M-8040,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0042,M-8041,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0043,M-8042,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
P0044,M-8043,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0045,M-8044,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER
P0046,M-8045,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0047,M-8046,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0048,M-8047,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0049,M-8048,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0050,M-8049,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0051,M-8050,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0052,M-8051,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0053,M-8052,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0054,M-8053,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0055,M-8054,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0056,M-8055,Amit Sharma,Amit Sharma,100.0,LIKELY SAME OWNER
P0057,M-8056,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0058,M-8057,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER
P0059,M-8058,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER
P0060,M-8059,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0061,M-8060,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER
P0062,M-8061,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER
P0063,M-8062,Vijay More,Vijay More,100.0,LIKELY SAME OWNER
P0064,M-8063,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER
