survey_number,holder_name,registered_area,land_category
SRV-1001,Suresh Patil,1200.0,Residential
SRV-1002,Neha Verma,1200.0,Commercial
SRV-1003,Priya Singh,1200.0,Commercial
SRV-1004,Suresh Patil,1200.0,Residential
SRV-1005,Mahesh Deshmukh,1200.0,Vacant
SRV-1006,Rajesh Kumar,1200.0,Residential
SRV-1007,Suresh Patil,1200.0,Commercial
SRV-1008,Priya Singh,1200.0,Residential
SRV-1009,Sunita Pawar,1200.0,Commercial
SRV-1010,Sunita Pawar,1200.0,Vacant
SRV-1011,Priya Singh,1200.0,Vacant
SRV-1012,Mahesh Deshmukh,1200.0,Mixed Use
SRV-1013,Rajesh Kumar,1200.0,Commercial
SRV-1014,Anita Joshi,1200.0,Mixed Use
SRV-1015,Neha Verma,1200.0,Commercial
SRV-1016,Priya Singh,1200.0,Mixed Use
SRV-1017,Suresh Patil,1200.0,Residential
SRV-1018,Anita Joshi,1200.0,Residential
SRV-1019,Vijay More,1200.0,Mixed Use
SRV-1020,Mahesh Deshmukh,1200.0,Mixed Use
SRV-1021,R. Kumar,1200.0,Vacant
SRV-1022,Sunita Pawar,1200.0,Residential
SRV-1023,Anita Joshi,1200.0,Residential
SRV-1024,Sunita Pawar,1200.0,Mixed Use
SRV-1025,Mahesh Deshmukh,1200.0,Mixed Use
SRV-1026,Mahesh Deshmukh,1200.0,Commercial
SRV-1027,Suresh Patil,1200.0,Residential
SRV-1028,Priya Singh,1200.0,Mixed Use
SRV-1029,Suresh Patil,1200.0,Commercial
SRV-1030,Suresh Patil,1200.0,Vacant
SRV-1031,Neha Verma,1200.0,Vacant
SRV-1032,Vijay More,1200.0,Commercial
SRV-1033,Vijay More,1200.0,Mixed Use
SRV-1034,Priya Singh,1200.0,Mixed Use
SRV-1035,Suresh Patil,1200.0,Commercial
SRV-1036,Sunita Pawar,1200.0,Commercial
SRV-1037,Amit Sharma,1200.0,Vacant
SRV-1038,Anita Joshi,1200.0,Mixed Use
SRV-1039,Sunita Pawar,1200.0,Commercial
SRV-1040,Vijay More,1200.0,Residential
SRV-1041,Priya Singh,1200.0,Residential
SRV-1042,Vijay More,1200.0,Vacant
SRV-1043,Neha Verma,1200.0,Residential
SRV-1044,Priya Singh,1200.0,Mixed Use
SRV-1045,Priya Singh,1200.0,Vacant
SRV-1046,Anita Joshi,1140.0,Vacant
