parcel_id,municipal_plot_id,cadastral_owner,municipal_owner,owner_similarity,relationship,reference_area_sqm,municipal_area_sqm,area_difference_sqm_owner,area_difference_percent,severity,geometry_similarity,centroid_distance_m,area_difference_sqm_geometry,conflict_type,reason,recommendation,overall_status
P0001,M-8000,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0002,M-8001,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0003,M-8002,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0004,M-8003,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0005,M-8004,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0006,M-8005,Rajesh K.,Rajesh Kumar,80.0,REVIEW REQUIRED,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0007,M-8006,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0008,M-8007,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0009,M-8008,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0010,M-8009,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0011,M-8010,Priya Singh,Priya Singh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0012,M-8011,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0013,M-8012,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0014,M-8013,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0015,M-8014,Neha Verma,Neha Verma,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0016,M-8015,Suresh P.,Priya Singh,21.05,OWNER CONFLICT,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,REVIEW REQUIRED
P0017,M-8016,Suresh Patil,Suresh Patil,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0018,M-8017,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0019,M-8018,Vijay More,Vijay More,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0020,M-8019,Mahesh Deshmukh,Mahesh Deshmukh,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0021,M-8020,Rajesh Kumar,Rajesh Kumar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0022,M-8021,Sunita Pawar,Sunita Pawar,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
P0023,M-8022,Anita Joshi,Anita Joshi,100.0,LIKELY SAME OWNER,1200.0,1200.0,0.0,0.0,LOW,100.0,0.0,0.0,NO CONFLICT,Boundaries match between cadastral and municipal records.,No action required.,NO MAJOR CONFLICT
